Document_Id,Profile_Name,Title,Co_Authors,Title_Link,No_Of_Citations
1,Mohsen Abbaszadeh,Enhancing CO2 solubility in the aquifer with the use of a downhole cooler tools,"Abbaszadeh, M.",https://pureportal.coventry.ac.uk/en/publications/enhancing-co2-solubility-in-the-aquifer-with-the-use-of-a-downhol,"
1
"
2,Mohsen Abbaszadeh,Investigating the Impact of Temperature on Relative Permeability Curves Curing Geological CO2 Storage,"Abbaszadeh, M.",https://pureportal.coventry.ac.uk/en/publications/investigating-the-impact-of-temperature-on-relative-permeability-,"
3
"
3,Mohsen Abbaszadeh,The influence of temperature on wettability alteration during CO            2 storage in saline aquifers,"Abbaszadeh, M.",https://pureportal.coventry.ac.uk/en/publications/the-influence-of-temperature-on-wettability-alteration-during-co-,"
3
"
4,Mohsen Abbaszadeh,Accelerating CO2 Solubility in Brine With Low Temperature Injection Scenario: Using a Downhole Cooling Tools,"Abbaszadeh, M.",https://pureportal.coventry.ac.uk/en/publications/accelerating-co2-solubility-in-brine-with-low-temperature-injecti,"
11
"
5,Mohsen Abbaszadeh,Investigating The Impact Of Relative Permeability Curves On Cold CO2 Injection,"Abbaszadeh, M.",https://pureportal.coventry.ac.uk/en/publications/investigating-the-impact-of-relative-permeability-curves-on-cold-,"
2
"
6,Mohamed Abdelshafy,Cross-Layer Multipath Multichannel MAC protocol for MANETs,"Abdelshafy, M.",https://pureportal.coventry.ac.uk/en/publications/cross-layer-multipath-multichannel-mac-protocol-for-manets,"
2
"
7,Mohamed Abdelshafy,Performance evaluation of Receiver Directed Transmission protocol with a single transceiver in MANETs,"Abdelshafy, M.",https://pureportal.coventry.ac.uk/en/publications/performance-evaluation-of-receiver-directed-transmission-protocol,"
2
"
8,Mohamed Abdelshafy,Reliable Multipath Multi-channel Route Migration over Multi Link-Failure in Wireless Ad Hoc Networks,"Abdelshafy, M.",https://pureportal.coventry.ac.uk/en/publications/reliable-multipath-multi-channel-route-migration-over-multi-link-,"
14
"
9,Mohamed Abdelshafy,Resisting blackhole attacks on MANETs,"Abdelshafy, M.",https://pureportal.coventry.ac.uk/en/publications/resisting-blackhole-attacks-on-manets,"
5
"
10,Mohamed Abdelshafy,Dynamic Source Routing under Attacks,"Abdelshafy, M.",https://pureportal.coventry.ac.uk/en/publications/dynamic-source-routing-under-attacks,"
13
"
11,Mohamed Abdelshafy,AODV & SAODV under Attack: Performance Comparison,"Abdelshafy, M.",https://pureportal.coventry.ac.uk/en/publications/aodv-amp-saodv-under-attack-performance-comparison,"
5
"
12,Mohamed Abdelshafy,AODV Routing Protocol Performance Analysis under MANET Attacks,"Abdelshafy, M.",https://pureportal.coventry.ac.uk/en/publications/aodv-routing-protocol-performance-analysis-under-manet-attacks,"
9
"
13,Mohamad Nazri Abd Karim,Stock Liquidity and SMEs’ Likelihood of Bankruptcy: Evidence from the US Market,"Abd Karim, M. N.",https://pureportal.coventry.ac.uk/en/publications/stock-liquidity-and-smes-likelihood-of-bankruptcy-evidence-from-t,"
4
"
14,Mohamad Nazri Abd Karim,"Personalisation of power, neoliberalism and the production of corruption","Abd Karim, M. N.",https://pureportal.coventry.ac.uk/en/publications/personalisation-of-power-neoliberalism-and-the-production-of-corr,"
4
"
15,Jackie Abell,Artificial Insemination in Captive Lions is Bad News for Conservation,"Abell, J.",https://pureportal.coventry.ac.uk/en/publications/artificial-insemination-in-captive-lions-is-bad-news-for-conserva,"
1
"
