Profile_Id,Profile_Name,Profile_Link
1,Mohammadreza Abbassi Monjezi,https://pureportal.coventry.ac.uk/en/persons/mohammadreza-abbassi-monjezi
2,Mohsen Abbaszadeh,https://pureportal.coventry.ac.uk/en/persons/mohsen-abbaszadeh
3,Meryem Abdelhafid,https://pureportal.coventry.ac.uk/en/persons/meryem-abdelhafid
4,Mohamed Abdelshafy,https://pureportal.coventry.ac.uk/en/persons/mohamed-abdelshafy
5,Ali Mohamed Abdi,https://pureportal.coventry.ac.uk/en/persons/ali-mohamed-abdi
6,Mohamad Nazri Abd Karim,https://pureportal.coventry.ac.uk/en/persons/mohamad-nazri-abd-karim
7,Mohammed Abdulla,https://pureportal.coventry.ac.uk/en/persons/mohammed-abdulla
8,Mohammed Abdullahi,https://pureportal.coventry.ac.uk/en/persons/mohammed-abdullahi
9,Jackie Abell,https://pureportal.coventry.ac.uk/en/persons/jackie-abell
10,Rebecca Aberton,https://pureportal.coventry.ac.uk/en/persons/rebecca-aberton
11,Essam Abo-Serie,https://pureportal.coventry.ac.uk/en/persons/essam-abo-serie-abdelfatah
12,Btissam Aboubichr,https://pureportal.coventry.ac.uk/en/persons/btissam-aboubichr
13,Omar Abou Hamdan,https://pureportal.coventry.ac.uk/en/persons/omar-abou-hamdan
14,Siham Aboujanah,https://pureportal.coventry.ac.uk/en/persons/siham-aboujanah
15,Nacey Abraham,https://pureportal.coventry.ac.uk/en/persons/nacey-abraham
16,Jay Abrahams,https://pureportal.coventry.ac.uk/en/persons/jay-abrahams
17,Ahmad Abras,https://pureportal.coventry.ac.uk/en/persons/ahmad-abras
18,Habib Gajam Abubakar,https://pureportal.coventry.ac.uk/en/persons/habib-gajam-abubakar
19,Alim Abubakre,https://pureportal.coventry.ac.uk/en/persons/alim-abubakre
20,Adam Abukari,https://pureportal.coventry.ac.uk/en/persons/adam-abukari
21,Anees Abu-Monshar,https://pureportal.coventry.ac.uk/en/persons/anees-abu-monshar
22,Mohsen Abumuamar,https://pureportal.coventry.ac.uk/en/persons/mohsen-abumuamar
23,Pius Maduakonam Achuama,https://pureportal.coventry.ac.uk/en/persons/pius-maduakonam-achuama
24,Joseph Esuman Acquaah,https://pureportal.coventry.ac.uk/en/persons/joseph-esuman-acquaah
25,Elijah Acquah-Andoh,https://pureportal.coventry.ac.uk/en/persons/elijah-acquah-andoh
26,Gbenga Adamolekun,https://pureportal.coventry.ac.uk/en/persons/gbenga-adamolekun
27,Victor Aderogba Adebiyi,https://pureportal.coventry.ac.uk/en/persons/victor-aderogba-adebiyi
28,Arinola Adefila,https://pureportal.coventry.ac.uk/en/persons/arinola-adefila
29,Abiodun Adegbile,https://pureportal.coventry.ac.uk/en/persons/abiodun-adegbile
30,Amanda R A Adegboye,https://pureportal.coventry.ac.uk/en/persons/amanda-r-a-adegboye
31,Janneke Adema,https://pureportal.coventry.ac.uk/en/persons/janneke-adema
32,Mohammed Aderemi Adepoju,https://pureportal.coventry.ac.uk/en/persons/mohammed-aderemi-adepoju
33,Kamilah Adetunji,https://pureportal.coventry.ac.uk/en/persons/kamilah-adetunji
